City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
245,Mazara Del Vallo,IT,51.75,37.6641,12.588,Constance Resort Garden - Blu Hotels
246,Khani,GE,24.37,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
247,Itainopolis,BR,71.35,-7.4469,-41.4783,Pousada Posto Club Frank Aguiar
248,Katsuura,JP,49.19,35.1333,140.3,Katsuura Hotel Mikazuki
249,Preobrazheniye,RU,13.62,42.9019,133.9064,Campsite Orlan
250,Oromocto,CA,21.94,45.8351,-66.4792,Days Inn by Wyndham Oromocto Conference Centre
251,Xiaoshi,CN,10.42,41.2971,124.1209,Junsheng Fengweilou Farmstay
253,Kamaishi,JP,31.15,39.2667,141.8833,Hotel Route Inn Kamaishi
255,Port Lincoln,AU,70.88,-34.7333,135.8667,Port Lincoln Hotel
256,Mae Sai,TH,59.45,20.4335,99.8762,Piyaporn Hill Paradise Hotel
258,Mwinilunga,ZM,62.83,-11.7358,24.4293,Kwakuwahi Lodge
259,Eydhafushi,MV,82.22,5.1033,73.0708,Royal Island Resort & Spa in Maldives
260,Nanchang,CN,37.8,28.6833,115.8833,Gloria Plaza Hotel Nanchang
261,Palora,EC,70.02,-1.7,-77.9333,Rancho grande
262,Salinas,US,63.41,36.6777,-121.6555,Laurel Inn & Conference Center
263,Sakakah,SA,42.37,29.9697,40.2064,Fakhamat Al Orjoana Apartment
264,Ures,MX,74.21,29.4333,-110.4,Hacienda Quinta Napoles
265,Phuket,TH,86.09,8.0,98.25,Trisara
266,Antalaha,MG,71.71,-14.9003,50.2788,Hotel Vitasoa
267,Broken Hill,AU,84.51,-31.95,141.4333,Royal Exchange Hotel
268,Hovorany,CZ,46.11,48.9549,16.9935,Hotel Albor
269,Mount Pleasant,US,36.99,32.7941,-79.8626,Best Western Patriots Point
270,Taitung,TW,70.07,22.7583,121.1444,Taitung Bali Suites Hotel
272,Rio Grande,BR,70.95,-32.035,-52.0986,Hotel Atlântico Rio Grande
273,Andenes,NO,28.38,69.3143,16.1194,Hotell Marena
275,Sao Joao Da Barra,BR,75.88,-21.6403,-41.0511,Pousada João Vitor e o Mar
276,Prince Rupert,CA,41.09,54.3161,-130.3201,Crest Hotel
277,Salmas,IR,13.19,38.1973,44.7653,Ata Hotel
278,Sao Filipe,CV,70.63,14.8961,-24.4956,Hotel Xaguate
279,Chicama,PE,66.74,-7.8447,-79.1469,Balihai Bungalows
280,Shiyan,CN,35.06,32.6475,110.7781,Laomofang Quanshuizhuang
283,Farmington,US,39.2,36.7281,-108.2187,Courtyard by Marriott Farmington
284,Banagher,IE,36.05,53.1886,-7.9867,Keeraun Hill
285,Weyburn,CA,12.18,49.6668,-103.8511,Perfect Inns & Suites
286,Pleasanton,US,62.35,37.6624,-121.8747,Four Points by Sheraton Pleasanton
287,Tondano,ID,78.89,1.3038,124.9112,Gardenia Country Inn
289,Qaqortoq,GL,12.7,60.7167,-46.0333,Siniffik Inn
290,Lahaina,US,84.2,20.8783,-156.6825,Lahaina Shores Beach Resort
